2026/08/25 19:32:29 终端网关已启动，监听 :7822
2026/08/25 19:32:29 PHP 会话接口: http://127.0.0.1/CredStat/ws_session_api.php
2026/08/25 19:33:26 终端会话已授权: ssh 172.168.0.167:22 (admin)
2026/08/25 19:58:18 终端会话已授权: telnet 172.168.0.250:23 (admin)
2026/08/25 19:58:38 终端会话已授权: ssh 172.168.0.167:22 (admin)
2026/08/25 19:59:07 终端会话已授权: ssh 172.168.0.250:23 (admin)
2026/08/25 19:59:32 终端会话已授权: ssh 172.168.0.169:22 (admin)
2026/08/25 20:03:13 终端会话已授权: telnet 172.168.0.250:23 (admin)
2026/08/25 20:03:31 终端会话已授权: telnet 172.168.0.250:23 (admin)
2026/08/25 20:03:35 终端会话已授权: ssh 172.168.0.169:22 (admin)
2026/08/25 20:03:40 终端会话已授权: ssh 172.168.0.168:22 (admin)
